scenario,arm,episodes,coverage_auc_mean,t90_mean_reached,t95_mean_reached,coverage_at_100_mean,coverage_at_200_mean,coverage_at_300_mean,repeat_ratio_mean,repeat_ratio_after_90_mean,global_repeat_ratio_mean,coverage_ratio_mean,coverage_completed_mean,steps_mean
same_random_20x20_4a_r05,GAT-OFF,20,0.8332497368421053,182.5,212.25,0.7088157894736841,0.9144736842105262,0.9647368421052631,0.7250243546251559,0.9418585213117927,0.7250243546251559,0.9974999999999999,0.7,377.15
same_random_20x20_4a_r05,GAT-ON,20,0.8646476315789474,131.45,135.05263157894737,0.7917105263157895,0.9655263157894737,0.9881578947368421,0.46849588243128154,0.8266299582280615,0.46849588243128154,0.9973684210526315,0.95,191.7
same_random_20x20_4a_r05,GAT-CUAP,20,0.8619481578947369,133.85,137.0,0.7798684210526315,0.9664473684210527,0.9853947368421053,0.4634802826151564,0.8185556119279973,0.4634802826151564,0.9963157894736842,0.95,192.9
