scenario,arm,episodes,coverage_auc_mean,t90_mean_reached,t95_mean_reached,coverage_at_100_mean,coverage_at_200_mean,coverage_at_300_mean,repeat_ratio_mean,repeat_ratio_after_90_mean,global_repeat_ratio_mean,coverage_ratio_mean,coverage_completed_mean,steps_mean
same_random_20x20_4a_r05,GAT-OFF,20,0.8332497368421053,182.5,212.25,0.7088157894736841,0.9144736842105262,0.9647368421052631,0.7250243546251559,0.9418585213117927,0.7250243546251559,0.9974999999999999,0.7,377.15
same_random_20x20_4a_r05,GAT-ON,20,0.8646476315789474,131.45,135.05263157894737,0.7917105263157895,0.9655263157894737,0.9881578947368421,0.46849588243128154,0.8266299582280615,0.46849588243128154,0.9973684210526315,0.95,191.7
same_random_20x20_4a_r05,GAT-CUAP,20,0.8637471052631579,134.3,149.0,0.7877631578947368,0.9625,0.9856578947368421,0.4532452987086302,0.7987917499477508,0.4532452987086302,0.9996052631578948,0.95,188.95
