arm,scenario,label,category,seed,width,height,num_agents,max_steps,obstacle_ratio,obstacles,free_cells,coverage_ratio,coverage_completed,mission_completed,returned_to_depot,steps,coverage_steps,return_steps,path_length,avg_agent_path_length,global_repeat_ratio,total_reward,trajectory_json,metric_budgets,coverage_auc,coverage_at_50,coverage_at_100,coverage_at_125,coverage_at_200,coverage_at_250,coverage_at_300,coverage_at_375,coverage_at_500,t90,t95,t99,repeat_ratio,repeat_ratio_after_90,inter_agent_overlap_ratio,stall_steps,stalled,stall_coverage,stall_termination_coverage
GAT-OFF,native_20x20_4a,Course-4 native 20x20 / 4 agents,course-native,20260431,20,20,4,500,0.05,20,380,1.0,1,0,0,500,166,334,760,190.0,0.810379241516966,-118.88716424256563,reports\three_model_ablation_smoke\trajectories\GAT-OFF_native_20x20_4a_seed_20260431.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8735894736842106,0.4368421052631579,0.7684210526315789,0.9315789473684211,1.0,1.0,1.0,1.0,1.0,120,130,149,0.810379241516966,0.975,0.6447368421052632,50,0,,1.0
GAT-ON,native_20x20_4a,Course-4 native 20x20 / 4 agents,course-native,20260431,20,20,4,500,0.05,20,380,1.0,1,1,1,148,123,25,552,138.0,0.3624161073825503,127.03388089500368,reports\three_model_ablation_smoke\trajectories\GAT-ON_native_20x20_4a_seed_20260431.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8944736842105262,0.4868421052631579,0.9236842105263158,1.0,1.0,1.0,1.0,1.0,1.0,97,106,120,0.3624161073825503,0.8137254901960784,0.22631578947368422,50,0,,1.0
GAT-CUAP,native_20x20_4a,Course-4 native 20x20 / 4 agents,course-native,20260431,20,20,4,500,0.05,20,380,1.0,1,1,1,166,130,36,632,158.0,0.4311377245508982,126.5592756960541,reports\three_model_ablation_smoke\trajectories\GAT-CUAP_native_20x20_4a_seed_20260431.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8917894736842105,0.48157894736842105,0.8631578947368421,0.9868421052631579,1.0,1.0,1.0,1.0,1.0,110,116,126,0.4311377245508982,0.8348214285714286,0.41842105263157897,50,0,,1.0
