arm,scenario,label,category,seed,width,height,num_agents,max_steps,obstacle_ratio,obstacles,free_cells,coverage_ratio,coverage_completed,mission_completed,returned_to_depot,steps,coverage_steps,return_steps,path_length,avg_agent_path_length,global_repeat_ratio,total_reward,trajectory_json,metric_budgets,coverage_auc,coverage_at_50,coverage_at_100,coverage_at_125,coverage_at_200,coverage_at_250,coverage_at_300,coverage_at_375,coverage_at_500,t90,t95,t99,repeat_ratio,repeat_ratio_after_90,inter_agent_overlap_ratio,stall_steps,stalled,stall_coverage,stall_termination_coverage,coverage_at_112,coverage_at_281,coverage_at_562,coverage_at_750,coverage_at_844,coverage_at_1000,coverage_at_1125
GAT-OFF,stress_20x20_4a_r20,Obstacle stress 20x20 / 4 agents / 20%,obstacle-stress,20260632,20,20,4,500,0.2,80,320,0.903125,0,0,0,500,500,0,872,218.0,0.8557884231536926,-307.0781257227063,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_stress_20x20_4a_r20_seed_20260632.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.7605562499999998,0.321875,0.546875,0.7,0.884375,0.903125,0.903125,0.903125,0.903125,207,,,0.8557884231536926,0.9991467576791809,0.6851211072664359,50,1,0.903125,0.903125,,,,,,,
GAT-OFF,stress_20x20_4a_r20,Obstacle stress 20x20 / 4 agents / 20%,obstacle-stress,20260633,20,20,4,500,0.2,80,320,0.678125,0,0,0,500,500,0,1996,499.0,0.8917165668662674,2.64062487706542,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_stress_20x20_4a_r20_seed_20260633.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.60499375,0.49375,0.53125,0.559375,0.665625,0.665625,0.671875,0.678125,0.678125,,,,0.8917165668662674,0.0,0.5069124423963134,50,1,0.665625,0.665625,,,,,,,
GAT-OFF,transfer_30x30_4a_r05,Transfer 30x30 / 4 agents / 5%,map-size,20260701,30,30,4,1125,0.05,45,855,1.0,1,0,0,1125,952,173,4064,1016.0,0.8101687388987566,111.4959754832089,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_transfer_30x30_4a_r05_seed_20260701.json,"[100, 112, 200, 281, 300, 500, 562, 750, 844, 1000, 1125]",0.8715373619233266,,0.39883040935672515,,0.7216374269005847,,0.9169590643274854,,0.9953216374269006,286,342,399,0.8101687388987566,0.9749702026221693,0.9964912280701754,56,1,0.9964912280701754,0.9964912280701754,0.43391812865497076,0.8947368421052632,0.9964912280701754,0.9988304093567252,0.9988304093567252,1.0,1.0
GAT-OFF,transfer_30x30_4a_r05,Transfer 30x30 / 4 agents / 5%,map-size,20260702,30,30,4,1125,0.05,45,855,0.9988304093567252,0,0,0,1125,1125,0,3877,969.25,0.8103907637655418,-73.8239605911076,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_transfer_30x30_4a_r05_seed_20260702.json,"[100, 112, 200, 281, 300, 500, 562, 750, 844, 1000, 1125]",0.8746115659519169,,0.3953216374269006,,0.7567251461988304,,0.9251461988304094,,0.9871345029239766,283,315,543,0.8103907637655418,0.975356294536817,0.9918032786885246,56,1,0.9988304093567252,0.9988304093567252,0.43625730994152045,0.8970760233918129,0.9953216374269006,0.9988304093567252,0.9988304093567252,0.9988304093567252,0.9988304093567252
GAT-OFF,transfer_30x30_4a_r05,Transfer 30x30 / 4 agents / 5%,map-size,20260703,30,30,4,1125,0.05,45,855,0.9964912280701754,0,0,0,1125,1125,0,4496,1124.0,0.8108348134991119,102.41249848902225,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_transfer_30x30_4a_r05_seed_20260703.json,"[100, 112, 200, 281, 300, 500, 562, 750, 844, 1000, 1125]",0.8621411306042884,,0.3883040935672515,,0.7064327485380117,,0.8923976608187134,,0.9719298245614035,305,378,520,0.8108348134991119,0.975,0.9448356807511737,56,1,0.9953216374269006,0.9953216374269006,0.4233918128654971,0.8631578947368421,0.9941520467836257,0.9964912280701754,0.9964912280701754,0.9964912280701754,0.9964912280701754
GAT-OFF,agents_20x20_6a_r05,Transfer 20x20 / 6 agents / 5%,agent-count,20260801,20,20,6,500,0.05,20,380,0.9473684210526315,0,0,0,500,500,0,900,150.0,0.8802395209580839,-389.76770317554474,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_agents_20x20_6a_r05_seed_20260801.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.7433368421052632,0.2657894736842105,0.49736842105263157,0.6078947368421053,0.8263157894736842,0.8921052631578947,0.8973684210526316,0.9394736842105263,0.9473684210526315,301,,,0.8802395209580839,0.9849246231155779,0.7388888888888889,50,1,0.8921052631578947,0.8921052631578947,,,,,,,
GAT-OFF,agents_20x20_6a_r05,Transfer 20x20 / 6 agents / 5%,agent-count,20260802,20,20,6,500,0.05,20,380,0.9815789473684211,0,0,0,500,500,0,994,165.66666666666666,0.8759148369926814,-370.51041650772095,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_agents_20x20_6a_r05_seed_20260802.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.6784631578947368,0.25263157894736843,0.49736842105263157,0.5684210526315789,0.718421052631579,0.7342105263157894,0.7368421052631579,0.8631578947368421,0.9815789473684211,389,427,,0.8759148369926814,0.9534534534534534,0.4906166219839142,50,1,0.7342105263157894,0.7342105263157894,,,,,,,
GAT-OFF,agents_20x20_6a_r05,Transfer 20x20 / 6 agents / 5%,agent-count,20260803,20,20,6,500,0.05,20,380,0.9973684210526316,0,0,0,500,500,0,942,157.0,0.8739188290086494,-378.9249999523163,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_agents_20x20_6a_r05_seed_20260803.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.784157894736842,0.26052631578947366,0.5052631578947369,0.6210526315789474,0.8789473684210526,0.9578947368421052,0.9842105263157894,0.9947368421052631,0.9973684210526316,209,237,321,0.8739188290086494,0.9788087056128293,0.9366754617414248,50,1,0.9947368421052631,0.9947368421052631,,,,,,,
GAT-OFF,combined_30x30_6a_r05,Transfer 30x30 / 6 agents / 5%,combined,20260901,30,30,6,1125,0.05,45,855,0.4046783625730994,0,0,0,1125,1125,0,2250,375.0,0.9487862640615748,-915.8208503127098,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_combined_30x30_6a_r05_seed_20260901.json,"[100, 112, 200, 281, 300, 500, 562, 750, 844, 1000, 1125]",0.351608057179987,,0.22923976608187135,,0.3707602339181287,,0.37777777777777777,,0.37777777777777777,,,,0.9487862640615748,0.0,0.6127167630057804,56,1,0.37777777777777777,0.37777777777777777,0.256140350877193,0.37777777777777777,0.37777777777777777,0.37777777777777777,0.37777777777777777,0.38596491228070173,0.4046783625730994
GAT-OFF,combined_30x30_6a_r05,Transfer 30x30 / 6 agents / 5%,combined,20260902,30,30,6,1125,0.05,45,855,0.6222222222222222,0,0,0,1125,1125,0,1125,187.5,0.9212551805802249,-1095.8020828664303,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_combined_30x30_6a_r05_seed_20260902.json,"[100, 112, 200, 281, 300, 500, 562, 750, 844, 1000, 1125]",0.45435009746588695,,0.11461988304093568,,0.1953216374269006,,0.30994152046783624,,0.5181286549707602,,,,0.9212551805802249,0.0,0.0018796992481203006,56,1,0.6222222222222222,0.6222222222222222,0.12046783625730995,0.29005847953216374,0.5789473684210527,0.6210526315789474,0.6222222222222222,0.6222222222222222,0.6222222222222222
GAT-OFF,combined_30x30_6a_r05,Transfer 30x30 / 6 agents / 5%,combined,20260903,30,30,6,1125,0.05,45,855,0.9929824561403509,0,0,0,1125,1125,0,1959,326.5,0.8743339253996447,-885.0368349552155,reports\three_model_ablation_2026-06-07\trajectories\GAT-OFF_combined_30x30_6a_r05_seed_20260903.json,"[100, 112, 200, 281, 300, 500, 562, 750, 844, 1000, 1125]",0.6719916829109811,,0.22923976608187135,,0.38596491228070173,,0.4807017543859649,,0.6432748538011696,742,789,825,0.8743339253996447,0.9656222802436901,0.4664310954063604,56,1,0.9929824561403509,0.9929824561403509,0.24561403508771928,0.4678362573099415,0.7017543859649122,0.9099415204678363,0.9929824561403509,0.9929824561403509,0.9929824561403509
GAT-ON,native_20x20_4a,Course-4 native 20x20 / 4 agents,course-native,20260431,20,20,4,500,0.05,20,380,1.0,1,1,1,148,123,25,552,138.0,0.3624161073825503,127.03388089500368,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_native_20x20_4a_seed_20260431.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8944736842105262,0.4868421052631579,0.9236842105263158,1.0,1.0,1.0,1.0,1.0,1.0,97,106,120,0.3624161073825503,0.8137254901960784,0.22631578947368422,50,0,,1.0,,,,,,,
GAT-ON,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20260601,20,20,4,500,0.05,20,380,0.968421052631579,0,0,0,500,500,0,500,125.0,0.8163672654690619,-382.8999966531992,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_unseen_20x20_4a_r05_seed_20260601.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.5881157894736843,0.13421052631578947,0.2578947368421053,0.32105263157894737,0.5078947368421053,0.6394736842105263,0.7210526315789474,0.8894736842105263,0.968421052631579,379,422,,0.8163672654690619,0.9462809917355371,0.002717391304347826,50,1,0.968421052631579,0.968421052631579,,,,,,,
GAT-ON,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20260602,20,20,4,500,0.05,20,380,1.0,1,0,0,500,143,357,996,249.0,0.810379241516966,84.41361705819145,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_unseen_20x20_4a_r05_seed_20260602.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8862631578947369,0.4921052631578947,0.8263157894736842,0.968421052631579,1.0,1.0,1.0,1.0,1.0,112,121,139,0.810379241516966,0.976159793814433,0.38421052631578945,50,0,,1.0,,,,,,,
GAT-ON,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20260603,20,20,4,500,0.05,20,380,1.0,1,1,1,228,201,27,858,214.5,0.5851528384279476,114.09388109436259,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_unseen_20x20_4a_r05_seed_20260603.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8779157894736842,0.5078947368421053,0.8184210526315789,0.8842105263157894,0.9973684210526316,1.0,1.0,1.0,1.0,130,169,191,0.5851528384279476,0.9030612244897959,0.6078947368421053,50,0,,1.0,,,,,,,
GAT-ON,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20260604,20,20,4,500,0.05,20,380,1.0,1,1,1,218,182,36,794,198.5,0.5662100456621004,120.611249409616,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_unseen_20x20_4a_r05_seed_20260604.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8857,0.49473684210526314,0.85,0.9210526315789473,1.0,1.0,1.0,1.0,1.0,111,146,159,0.5662100456621004,0.9112149532710281,0.5,50,0,,1.0,,,,,,,
GAT-ON,unseen_20x20_4a_r05,Unseen 20x20 / 4 agents / 5% obstacles,same-size,20260605,20,20,4,500,0.05,20,380,1.0,1,1,1,286,181,105,898,224.5,0.6689895470383276,121.02730149868876,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_unseen_20x20_4a_r05_seed_20260605.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8896157894736842,0.4605263157894737,0.8736842105263158,0.9842105263157894,1.0,1.0,1.0,1.0,1.0,104,115,131,0.6689895470383276,0.9478021978021978,0.5657894736842105,50,0,,1.0,,,,,,,
GAT-ON,stress_20x20_4a_r10,Obstacle stress 20x20 / 4 agents / 10%,obstacle-stress,20260611,20,20,4,500,0.1,40,360,0.6138888888888889,0,0,0,500,500,0,500,125.0,0.8897205588822356,-421.4499991685152,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_stress_20x20_4a_r10_seed_20260611.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.4762055555555555,0.14166666666666666,0.2777777777777778,0.3472222222222222,0.5333333333333333,0.6083333333333333,0.6138888888888889,0.6138888888888889,0.6138888888888889,,,,0.8897205588822356,0.0,0.004524886877828055,50,1,0.6138888888888889,0.6138888888888889,,,,,,,
GAT-ON,stress_20x20_4a_r10,Obstacle stress 20x20 / 4 agents / 10%,obstacle-stress,20260612,20,20,4,500,0.1,40,360,1.0,1,1,1,276,238,38,956,239.0,0.6750902527075813,76.2179609509185,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_stress_20x20_4a_r10_seed_20260612.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8778555555555555,0.5055555555555555,0.8027777777777778,0.8833333333333333,0.9694444444444444,1.0,1.0,1.0,1.0,128,140,208,0.6750902527075813,0.9391891891891891,0.5861111111111111,50,0,,1.0,,,,,,,
GAT-ON,stress_20x20_4a_r10,Obstacle stress 20x20 / 4 agents / 10%,obstacle-stress,20260613,20,20,4,500,0.1,40,360,0.008333333333333333,0,0,0,500,500,0,2,0.5,0.9985029940119761,-323.90311309695244,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_stress_20x20_4a_r10_seed_20260613.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.008333333333333331,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.008333333333333333,,,,0.9985029940119761,0.0,0.3333333333333333,50,1,0.008333333333333333,0.008333333333333333,,,,,,,
GAT-ON,stress_20x20_4a_r15,Obstacle stress 20x20 / 4 agents / 15%,obstacle-stress,20260621,20,20,4,500,0.15,60,340,0.8558823529411764,0,0,0,500,500,0,500,125.0,0.8547904191616766,-403.0593728721142,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_stress_20x20_4a_r15_seed_20260621.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.5892941176470587,0.14705882352941177,0.29411764705882354,0.36764705882352944,0.5617647058823529,0.6764705882352942,0.7588235294117647,0.8558823529411764,0.8558823529411764,,,,0.8547904191616766,0.0,0.003436426116838488,50,1,0.8558823529411764,0.8558823529411764,,,,,,,
GAT-ON,stress_20x20_4a_r15,Obstacle stress 20x20 / 4 agents / 15%,obstacle-stress,20260622,20,20,4,500,0.15,60,340,1.0,1,0,0,500,155,345,665,166.25,0.8303393213572854,-134.14046284928918,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_stress_20x20_4a_r15_seed_20260622.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.881929411764706,0.5029411764705882,0.7941176470588235,0.8970588235294118,1.0,1.0,1.0,1.0,1.0,126,136,153,0.8303393213572854,0.9772727272727273,0.4294117647058823,50,0,,1.0,,,,,,,
GAT-ON,stress_20x20_4a_r15,Obstacle stress 20x20 / 4 agents / 15%,obstacle-stress,20260623,20,20,4,500,0.15,60,340,0.7764705882352941,0,0,0,500,500,0,1994,498.5,0.8682634730538922,18.031249079853296,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_stress_20x20_4a_r15_seed_20260623.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.6984529411764706,0.4764705882352941,0.6558823529411765,0.7,0.7764705882352941,0.7764705882352941,0.7764705882352941,0.7764705882352941,0.7764705882352941,,,,0.8682634730538922,0.0,0.1590909090909091,50,1,0.7764705882352941,0.7764705882352941,,,,,,,
GAT-ON,stress_20x20_4a_r20,Obstacle stress 20x20 / 4 agents / 20%,obstacle-stress,20260631,20,20,4,500,0.2,80,320,0.678125,0,0,0,500,500,0,500,125.0,0.8917165668662674,-422.5999993979931,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_stress_20x20_4a_r20_seed_20260631.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.5220124999999999,0.159375,0.3,0.378125,0.565625,0.671875,0.678125,0.678125,0.678125,,,,0.8917165668662674,0.0,0.004608294930875576,50,1,0.678125,0.678125,,,,,,,
GAT-ON,stress_20x20_4a_r20,Obstacle stress 20x20 / 4 agents / 20%,obstacle-stress,20260632,20,20,4,500,0.2,80,320,0.89375,0,0,0,500,500,0,1996,499.0,0.8572854291417166,23.59687401726842,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_stress_20x20_4a_r20_seed_20260632.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8023750000000001,0.503125,0.759375,0.859375,0.89375,0.89375,0.89375,0.89375,0.89375,,,,0.8572854291417166,0.0,0.2517482517482518,50,1,0.89375,0.89375,,,,,,,
GAT-ON,stress_20x20_4a_r20,Obstacle stress 20x20 / 4 agents / 20%,obstacle-stress,20260633,20,20,4,500,0.2,80,320,0.890625,0,0,0,500,500,0,1992,498.0,0.8577844311377245,21.837499722838402,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_stress_20x20_4a_r20_seed_20260633.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.7999125,0.490625,0.78125,0.865625,0.890625,0.890625,0.890625,0.890625,0.890625,,,,0.8577844311377245,0.0,0.14035087719298245,50,1,0.890625,0.890625,,,,,,,
GAT-ON,transfer_30x30_4a_r05,Transfer 30x30 / 4 agents / 5%,map-size,20260701,30,30,4,1125,0.05,45,855,1.0,1,0,0,1125,334,791,1404,351.0,0.8101687388987566,-291.17014829069376,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_transfer_30x30_4a_r05_seed_20260701.json,"[100, 112, 200, 281, 300, 500, 562, 750, 844, 1000, 1125]",0.8843196881091618,,0.41403508771929826,,0.7812865497076024,,0.9637426900584796,,1.0,261,295,327,0.8101687388987566,0.9754050925925926,0.3473684210526316,56,0,,1.0,0.4584795321637427,0.9263157894736842,1.0,1.0,1.0,1.0,1.0
GAT-ON,transfer_30x30_4a_r05,Transfer 30x30 / 4 agents / 5%,map-size,20260702,30,30,4,1125,0.05,45,855,1.0,1,0,0,1125,394,731,1629,407.25,0.8101687388987566,-262.0447169863619,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_transfer_30x30_4a_r05_seed_20260702.json,"[100, 112, 200, 281, 300, 500, 562, 750, 844, 1000, 1125]",0.8693510071474984,,0.41754385964912283,,0.6573099415204678,,0.927485380116959,,1.0,287,319,364,0.8101687388987566,0.9752386634844868,0.4608187134502924,56,0,,1.0,0.4619883040935672,0.8760233918128655,1.0,1.0,1.0,1.0,1.0
GAT-ON,transfer_30x30_4a_r05,Transfer 30x30 / 4 agents / 5%,map-size,20260703,30,30,4,1125,0.05,45,855,1.0,1,1,1,392,371,21,1542,385.5,0.45610687022900764,227.45442495681345,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_transfer_30x30_4a_r05_seed_20260703.json,"[100, 112, 200, 281, 300, 500, 562, 750, 844, 1000, 1125]",0.8861151397011046,,0.4444444444444444,,0.7976608187134503,,0.9146198830409357,,1.0,290,314,336,0.45610687022900764,0.7916666666666666,0.4456140350877193,56,0,,1.0,0.49122807017543857,0.8947368421052632,1.0,1.0,1.0,1.0,1.0
GAT-ON,agents_20x20_6a_r05,Transfer 20x20 / 6 agents / 5%,agent-count,20260801,20,20,6,500,0.05,20,380,1.0,1,1,1,298,264,34,588,98.0,0.7881828316610925,-126.59129456570372,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_agents_20x20_6a_r05_seed_20260801.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.7810684210526316,0.2657894736842105,0.5210526315789473,0.6105263157894737,0.8342105263157895,0.9473684210526315,1.0,1.0,1.0,221,251,263,0.7881828316610925,0.9177489177489178,0.24473684210526317,50,0,,1.0,,,,,,,
GAT-ON,agents_20x20_6a_r05,Transfer 20x20 / 6 agents / 5%,agent-count,20260802,20,20,6,500,0.05,20,380,1.0,1,1,1,286,255,31,564,94.0,0.7793263646922184,-118.841381539125,reports\three_model_ablation_2026-06-07\trajectories\GAT-ON_agents_20x20_6a_r05_seed_20260802.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.7891263157894737,0.2657894736842105,0.5210526315789473,0.631578947368421,0.881578947368421,0.9868421052631579,1.0,1.0,1.0,212,230,253,0.7793263646922184,0.9144144144144144,0.2631578947368421,50,0,,1.0,,,,,,,
