arm,scenario,label,category,seed,width,height,num_agents,max_steps,obstacle_ratio,obstacles,free_cells,coverage_ratio,coverage_completed,mission_completed,returned_to_depot,steps,coverage_steps,return_steps,path_length,avg_agent_path_length,global_repeat_ratio,total_reward,trajectory_json,metric_budgets,coverage_auc,coverage_at_50,coverage_at_100,coverage_at_125,coverage_at_200,coverage_at_250,coverage_at_300,coverage_at_375,coverage_at_500,t90,t95,t99,repeat_ratio,repeat_ratio_after_90,inter_agent_overlap_ratio,stall_steps,stalled,stall_coverage,stall_termination_coverage
GAT-ON,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260443,20,20,4,500,0.05,20,380,1.0,1,1,1,188,156,32,716,179.0,0.4973544973544973,125.28664395958185,reports\seed_focus_ablation_2026-06-07\trajectories\GAT-ON_course4_training_obstacle_seeds_seed_20260443.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8884684210526316,0.5026315789473684,0.8736842105263158,0.9315789473684211,1.0,1.0,1.0,1.0,1.0,108,129,146,0.4973544973544973,0.88125,0.45,50,0,,1.0
GAT-ON,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260444,20,20,4,500,0.05,20,380,1.0,1,1,1,183,147,36,696,174.0,0.483695652173913,123.65138084068894,reports\seed_focus_ablation_2026-06-07\trajectories\GAT-ON_course4_training_obstacle_seeds_seed_20260444.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8908105263157895,0.4789473684210526,0.881578947368421,0.9578947368421052,1.0,1.0,1.0,1.0,1.0,103,121,144,0.483695652173913,0.88125,0.531578947368421,50,0,,1.0
GAT-ON,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260445,20,20,4,500,0.05,20,380,1.0,1,0,0,500,179,321,1104,276.0,0.810379241516966,81.59677499067038,reports\seed_focus_ablation_2026-06-07\trajectories\GAT-ON_course4_training_obstacle_seeds_seed_20260445.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8847,0.4842105263157895,0.8236842105263158,0.9578947368421052,1.0,1.0,1.0,1.0,1.0,112,123,133,0.810379241516966,0.976159793814433,0.3605263157894737,50,0,,1.0
GAT-ON,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260446,20,20,4,500,0.05,20,380,1.0,1,1,1,178,155,23,682,170.5,0.4692737430167598,125.56401232630014,reports\seed_focus_ablation_2026-06-07\trajectories\GAT-ON_course4_training_obstacle_seeds_seed_20260446.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8928052631578948,0.49736842105263157,0.8868421052631579,0.968421052631579,1.0,1.0,1.0,1.0,1.0,109,121,148,0.4692737430167598,0.8623188405797102,0.3631578947368421,50,0,,1.0
GAT-ON,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260447,20,20,4,500,0.05,20,380,1.0,1,1,1,178,143,35,670,167.5,0.4692737430167598,125.33651253860444,reports\seed_focus_ablation_2026-06-07\trajectories\GAT-ON_course4_training_obstacle_seeds_seed_20260447.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8837947368421053,0.47368421052631576,0.8157894736842105,0.9631578947368421,1.0,1.0,1.0,1.0,1.0,113,122,141,0.4692737430167598,0.8576923076923076,0.4131578947368421,50,0,,1.0
GAT-CUAP,cuap_best_seed_20260603,CUAP best prior-eval seed 20260603 (Unseen 20x20 / 4 agents / 5% obstacles),cuap-best-seed,20260603,20,20,4,500,0.05,20,380,1.0,1,1,1,176,135,41,610,152.5,0.4632768361581921,125.46322280168533,reports\seed_focus_ablation_2026-06-07\trajectories\GAT-CUAP_cuap_best_seed_20260603_seed_20260603.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8932210526315789,0.47368421052631576,0.9078947368421053,0.9894736842105263,1.0,1.0,1.0,1.0,1.0,99,109,132,0.4632768361581921,0.8798701298701299,0.3473684210526316,50,0,,1.0
GAT-CUAP,course4_native_config,Course-4 native config seed 20260431,training-native,20260431,20,20,4,500,0.05,20,380,1.0,1,1,1,166,130,36,632,158.0,0.4311377245508982,126.5592756960541,reports\seed_focus_ablation_2026-06-07\trajectories\GAT-CUAP_course4_native_config_seed_20260431.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8917894736842105,0.48157894736842105,0.8631578947368421,0.9868421052631579,1.0,1.0,1.0,1.0,1.0,110,116,126,0.4311377245508982,0.8348214285714286,0.41842105263157897,50,0,,1.0
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260440,20,20,4,500,0.05,20,380,1.0,1,1,1,166,130,36,632,158.0,0.4311377245508982,126.5592756960541,reports\seed_focus_ablation_2026-06-07\trajectories\GAT-CUAP_course4_training_obstacle_seeds_seed_20260440.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8917894736842105,0.48157894736842105,0.8631578947368421,0.9868421052631579,1.0,1.0,1.0,1.0,1.0,110,116,126,0.4311377245508982,0.8348214285714286,0.41842105263157897,50,0,,1.0
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260441,20,20,4,500,0.05,20,380,1.0,1,1,1,222,182,40,832,208.0,0.5739910313901345,116.92006492242217,reports\seed_focus_ablation_2026-06-07\trajectories\GAT-CUAP_course4_training_obstacle_seeds_seed_20260441.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8750421052631578,0.4421052631578947,0.8342105263157895,0.8921052631578947,1.0,1.0,1.0,1.0,1.0,127,144,180,0.5739910313901345,0.9,0.5105263157894737,50,0,,1.0
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260442,20,20,4,500,0.05,20,380,0.9973684210526316,0,0,0,500,500,0,1448,362.0,0.8108782435129741,-109.8906274177134,reports\seed_focus_ablation_2026-06-07\trajectories\GAT-CUAP_course4_training_obstacle_seeds_seed_20260442.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8857105263157894,0.5052631578947369,0.8236842105263158,0.9394736842105263,0.9973684210526316,0.9973684210526316,0.9973684210526316,0.9973684210526316,0.9973684210526316,116,127,145,0.8108782435129741,0.9765625,0.41688654353562005,50,1,0.9973684210526316,0.9973684210526316
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260443,20,20,4,500,0.05,20,380,1.0,1,1,1,194,157,37,738,184.5,0.5128205128205128,125.89453888498247,reports\seed_focus_ablation_2026-06-07\trajectories\GAT-CUAP_course4_training_obstacle_seeds_seed_20260443.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8865105263157894,0.4789473684210526,0.85,0.9526315789473684,1.0,1.0,1.0,1.0,1.0,112,123,149,0.5128205128205128,0.8902439024390244,0.42105263157894735,50,0,,1.0
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260444,20,20,4,500,0.05,20,380,1.0,1,1,1,175,152,23,652,163.0,0.4602272727272727,119.84164430387318,reports\seed_focus_ablation_2026-06-07\trajectories\GAT-CUAP_course4_training_obstacle_seeds_seed_20260444.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8826105263157895,0.47368421052631576,0.8184210526315789,0.9315789473684211,1.0,1.0,1.0,1.0,1.0,116,129,142,0.4602272727272727,0.8389830508474576,0.3763157894736842,50,0,,1.0
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260445,20,20,4,500,0.05,20,380,1.0,1,1,1,217,175,42,812,203.0,0.5642201834862385,121.47019694186747,reports\seed_focus_ablation_2026-06-07\trajectories\GAT-CUAP_course4_training_obstacle_seeds_seed_20260445.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8802000000000001,0.4868421052631579,0.7973684210526316,0.9,1.0,1.0,1.0,1.0,1.0,125,138,172,0.5642201834862385,0.8967391304347826,0.4789473684210526,50,0,,1.0
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260446,20,20,4,500,0.05,20,380,1.0,1,1,1,192,163,29,736,184.0,0.5077720207253886,123.54861781932414,reports\seed_focus_ablation_2026-06-07\trajectories\GAT-CUAP_course4_training_obstacle_seeds_seed_20260446.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8834263157894736,0.4763157894736842,0.8184210526315789,0.9552631578947368,1.0,1.0,1.0,1.0,1.0,116,124,160,0.5077720207253886,0.8782894736842105,0.4105263157894737,50,0,,1.0
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260447,20,20,4,500,0.05,20,380,1.0,1,1,1,192,170,22,746,186.5,0.5077720207253886,121.84848630614579,reports\seed_focus_ablation_2026-06-07\trajectories\GAT-CUAP_course4_training_obstacle_seeds_seed_20260447.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8818894736842106,0.4605263157894737,0.7947368421052632,0.9526315789473684,1.0,1.0,1.0,1.0,1.0,117,123,143,0.5077720207253886,0.8766666666666667,0.4710526315789474,50,0,,1.0
