arm,scenario,label,category,width,height,num_agents,max_steps,obstacle_ratio,episodes,coverage_ratio_mean,coverage_ratio_std,coverage_auc_mean,coverage_auc_std,coverage_completed_mean,coverage_completed_std,mission_completed_mean,mission_completed_std,returned_to_depot_mean,returned_to_depot_std,steps_mean,steps_std,coverage_steps_mean,coverage_steps_std,return_steps_mean,return_steps_std,path_length_mean,path_length_std,avg_agent_path_length_mean,avg_agent_path_length_std,global_repeat_ratio_mean,global_repeat_ratio_std,repeat_ratio_mean,repeat_ratio_std,repeat_ratio_after_90_mean,repeat_ratio_after_90_std,inter_agent_overlap_ratio_mean,inter_agent_overlap_ratio_std,stalled_mean,stalled_std,stall_termination_coverage_mean,stall_termination_coverage_std,total_reward_mean,total_reward_std,t90_reach_rate,t90_mean_reached,t95_reach_rate,t95_mean_reached,t99_reach_rate,t99_mean_reached,coverage_at_100_mean,coverage_at_125_mean,coverage_at_200_mean,coverage_at_250_mean,coverage_at_300_mean,coverage_at_375_mean,coverage_at_50_mean,coverage_at_500_mean
GAT-OFF,cuap_best_seed_20260603,CUAP best prior-eval seed 20260603 (Unseen 20x20 / 4 agents / 5% obstacles),cuap-best-seed,20,20,4,500,0.05,1,1.0,0.0,0.8691157894736843,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,231.0,0.0,269.0,0.0,976.0,0.0,244.0,0.0,0.810379241516966,0.0,0.810379241516966,0.0,0.9736842105263158,0.0,0.9421052631578948,0.0,0.0,0.0,1.0,0.0,-93.47071873769164,0.0,1.0,139.0,1.0,161.0,1.0,212.0,0.7421052631578947,0.8447368421052631,0.9868421052631579,1.0,1.0,1.0,0.49736842105263157,1.0
GAT-ON,cuap_best_seed_20260603,CUAP best prior-eval seed 20260603 (Unseen 20x20 / 4 agents / 5% obstacles),cuap-best-seed,20,20,4,500,0.05,1,1.0,0.0,0.8779157894736842,0.0,1.0,0.0,1.0,0.0,1.0,0.0,228.0,0.0,201.0,0.0,27.0,0.0,858.0,0.0,214.5,0.0,0.5851528384279476,0.0,0.5851528384279476,0.0,0.9030612244897959,0.0,0.6078947368421053,0.0,0.0,0.0,1.0,0.0,114.09388109436259,0.0,1.0,130.0,1.0,169.0,1.0,191.0,0.8184210526315789,0.8842105263157894,0.9973684210526316,1.0,1.0,1.0,0.5078947368421053,1.0
GAT-CUAP,cuap_best_seed_20260603,CUAP best prior-eval seed 20260603 (Unseen 20x20 / 4 agents / 5% obstacles),cuap-best-seed,20,20,4,500,0.05,1,1.0,0.0,0.8932210526315789,0.0,1.0,0.0,1.0,0.0,1.0,0.0,176.0,0.0,135.0,0.0,41.0,0.0,610.0,0.0,152.5,0.0,0.4632768361581921,0.0,0.4632768361581921,0.0,0.8798701298701299,0.0,0.3473684210526316,0.0,0.0,0.0,1.0,0.0,125.46322280168533,0.0,1.0,99.0,1.0,109.0,1.0,132.0,0.9078947368421053,0.9894736842105263,1.0,1.0,1.0,1.0,0.47368421052631576,1.0
GAT-OFF,course4_native_config,Course-4 native config seed 20260431,training-native,20,20,4,500,0.05,1,1.0,0.0,0.8735894736842106,0.0,1.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,166.0,0.0,334.0,0.0,760.0,0.0,190.0,0.0,0.810379241516966,0.0,0.810379241516966,0.0,0.975,0.0,0.6447368421052632,0.0,0.0,0.0,1.0,0.0,-118.88716424256563,0.0,1.0,120.0,1.0,130.0,1.0,149.0,0.7684210526315789,0.9315789473684211,1.0,1.0,1.0,1.0,0.4368421052631579,1.0
GAT-ON,course4_native_config,Course-4 native config seed 20260431,training-native,20,20,4,500,0.05,1,1.0,0.0,0.8944736842105262,0.0,1.0,0.0,1.0,0.0,1.0,0.0,148.0,0.0,123.0,0.0,25.0,0.0,552.0,0.0,138.0,0.0,0.3624161073825503,0.0,0.3624161073825503,0.0,0.8137254901960784,0.0,0.22631578947368422,0.0,0.0,0.0,1.0,0.0,127.03388089500368,0.0,1.0,97.0,1.0,106.0,1.0,120.0,0.9236842105263158,1.0,1.0,1.0,1.0,1.0,0.4868421052631579,1.0
GAT-CUAP,course4_native_config,Course-4 native config seed 20260431,training-native,20,20,4,500,0.05,1,1.0,0.0,0.8917894736842105,0.0,1.0,0.0,1.0,0.0,1.0,0.0,166.0,0.0,130.0,0.0,36.0,0.0,632.0,0.0,158.0,0.0,0.4311377245508982,0.0,0.4311377245508982,0.0,0.8348214285714286,0.0,0.41842105263157897,0.0,0.0,0.0,1.0,0.0,126.5592756960541,0.0,1.0,110.0,1.0,116.0,1.0,126.0,0.8631578947368421,0.9868421052631579,1.0,1.0,1.0,1.0,0.48157894736842105,1.0
GAT-OFF,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20,20,4,500,0.05,8,0.9986842105263158,0.003481251725084999,0.8350447368421052,0.03378548662737004,0.875,0.33071891388307384,0.5,0.5,0.5,0.5,439.5,64.55036793078719,334.25,104.00210334411511,105.25,105.47481926981435,1426.75,381.1048904173233,356.6875,95.27622260433083,0.7795651937417687,0.03462459330388201,0.7795651937417687,0.03462459330388201,0.9567243277788273,0.014914676165447779,0.894999300111982,0.1026757324003063,0.375,0.4841229182759271,0.9529605263157894,0.11953016793139033,26.475453388877213,67.48125454290118,1.0,197.0,1.0,236.5,0.875,273.7142857142857,0.7118421052631578,0.7973684210526316,0.90625,0.9513157894736842,0.975328947368421,0.9911184210526316,0.4430921052631579,0.9986842105263158
GAT-ON,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20,20,4,500,0.05,8,1.0,0.0,0.8872631578947369,0.006729283382920125,1.0,0.0,0.875,0.33071891388307384,0.875,0.33071891388307384,221.0,106.54928437113034,153.875,16.766316679581116,67.125,96.05393992439873,735.5,150.15908230939613,183.875,37.53977057734903,0.5159551031070432,0.12110206633494432,0.5159551031070432,0.12110206633494432,0.8765456960106248,0.04338486222390778,0.3963815789473684,0.09067438834762584,0.0,0.0,1.0,0.0,118.80141364666633,14.384159461638857,1.0,111.75,1.0,123.5,1.0,143.375,0.8519736842105263,0.9460526315789474,1.0,1.0,1.0,1.0,0.4907894736842105,1.0
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20,20,4,500,0.05,8,0.999671052631579,0.0008703129312712497,0.8833973684210527,0.004587989408706631,0.875,0.33071891388307384,0.875,0.33071891388307384,0.875,0.33071891388307384,232.25,102.71167168340705,203.625,113.00767396508965,28.625,12.88349234485743,824.5,244.24731318890696,206.125,61.06182829722674,0.5461023762423509,0.10945878859038403,0.5461023762423509,0.10945878859038403,0.8865382690804463,0.04108678494372194,0.43796608109984725,0.04139035573905675,0.125,0.33071891388307384,0.999671052631579,0.0008703129312712497,93.27402468211949,76.84475449974268,1.0,117.375,1.0,128.0,1.0,152.125,0.825,0.9388157894736842,0.999671052631579,0.999671052631579,0.999671052631579,0.999671052631579,0.4756578947368421,0.999671052631579
