arm,scenario,label,category,seed,width,height,num_agents,max_steps,obstacle_ratio,obstacles,free_cells,coverage_ratio,coverage_completed,mission_completed,returned_to_depot,steps,coverage_steps,return_steps,path_length,avg_agent_path_length,global_repeat_ratio,total_reward,trajectory_json,metric_budgets,coverage_auc,coverage_at_50,coverage_at_100,coverage_at_125,coverage_at_200,coverage_at_250,coverage_at_300,coverage_at_375,coverage_at_500,t90,t95,t99,repeat_ratio,repeat_ratio_after_90,inter_agent_overlap_ratio,stall_steps,stalled,stall_coverage,stall_termination_coverage
GAT-ON,cuap_best_seed_20260603,CUAP best prior-eval seed 20260603 (Unseen 20x20 / 4 agents / 5% obstacles),cuap-best-seed,20260603,20,20,4,500,0.05,20,380,1.0,1,1,0,201,201,0,792,198.0,0.5297029702970297,74.5812494494021,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-ON_cuap_best_seed_20260603_seed_20260603.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8779157894736842,0.5078947368421053,0.8184210526315789,0.8842105263157894,0.9973684210526316,1.0,1.0,1.0,1.0,130,169,191,0.5297029702970297,0.8661971830985915,0.55,50,0,,1.0
GAT-ON,course4_native_config,Course-4 native config seed 20260431,training-native,20260431,20,20,4,500,0.05,20,380,1.0,1,1,0,123,123,0,482,120.5,0.23387096774193547,87.23124910891056,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-ON_course4_native_config_seed_20260431.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8944736842105262,0.4868421052631579,0.9236842105263158,1.0,1.0,1.0,1.0,1.0,1.0,97,106,120,0.23387096774193547,0.6346153846153846,0.14473684210526316,50,0,,1.0
GAT-ON,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260440,20,20,4,500,0.05,20,380,1.0,1,1,0,123,123,0,482,120.5,0.23387096774193547,87.23124910891056,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-ON_course4_training_obstacle_seeds_seed_20260440.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8944736842105262,0.4868421052631579,0.9236842105263158,1.0,1.0,1.0,1.0,1.0,1.0,97,106,120,0.23387096774193547,0.6346153846153846,0.14473684210526316,50,0,,1.0
GAT-ON,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260441,20,20,4,500,0.05,20,380,1.0,1,1,0,176,176,0,680,170.0,0.4632768361581921,76.44374905154109,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-ON_course4_training_obstacle_seeds_seed_20260441.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8720105263157896,0.5026315789473684,0.7447368421052631,0.8184210526315789,1.0,1.0,1.0,1.0,1.0,147,152,168,0.4632768361581921,0.6982758620689655,0.4105263157894737,50,0,,1.0
GAT-ON,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260442,20,20,4,500,0.05,20,380,1.0,1,1,0,152,152,0,600,150.0,0.3790849673202614,84.45624902099371,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-ON_course4_training_obstacle_seeds_seed_20260442.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.891042105263158,0.5,0.8657894736842106,0.9710526315789474,1.0,1.0,1.0,1.0,1.0,105,114,147,0.3790849673202614,0.8031914893617021,0.23684210526315788,50,0,,1.0
GAT-ON,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260443,20,20,4,500,0.05,20,380,1.0,1,1,0,156,156,0,618,154.5,0.39490445859872614,84.5187490656972,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-ON_course4_training_obstacle_seeds_seed_20260443.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8884684210526316,0.5026315789473684,0.8736842105263158,0.9315789473684211,1.0,1.0,1.0,1.0,1.0,108,129,146,0.39490445859872614,0.8020833333333334,0.3368421052631579,50,0,,1.0
GAT-ON,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260444,20,20,4,500,0.05,20,380,1.0,1,1,0,147,147,0,576,144.0,0.3581081081081081,83.0187490992248,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-ON_course4_training_obstacle_seeds_seed_20260444.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8908105263157895,0.4789473684210526,0.881578947368421,0.9578947368421052,1.0,1.0,1.0,1.0,1.0,103,121,144,0.3581081081081081,0.7840909090909091,0.3868421052631579,50,0,,1.0
GAT-ON,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260445,20,20,4,500,0.05,20,380,1.0,1,1,0,179,179,0,712,178.0,0.4722222222222222,81.55624924227595,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-ON_course4_training_obstacle_seeds_seed_20260445.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8847,0.4842105263157895,0.8236842105263158,0.9578947368421052,1.0,1.0,1.0,1.0,1.0,112,123,133,0.4722222222222222,0.8619402985074627,0.2657894736842105,50,0,,1.0
GAT-ON,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260446,20,20,4,500,0.05,20,380,1.0,1,1,0,155,155,0,616,154.0,0.391025641025641,85.41874905116856,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-ON_course4_training_obstacle_seeds_seed_20260446.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8928052631578948,0.49736842105263157,0.8868421052631579,0.968421052631579,1.0,1.0,1.0,1.0,1.0,109,121,148,0.391025641025641,0.7934782608695652,0.24736842105263157,50,0,,1.0
GAT-ON,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20260447,20,20,4,500,0.05,20,380,1.0,1,1,0,143,143,0,568,142.0,0.3402777777777778,84.93124924972653,reports\seed_focus_coverage_only_2026-06-07\trajectories\GAT-ON_course4_training_obstacle_seeds_seed_20260447.json,"[50, 100, 125, 200, 250, 300, 375, 500]",0.8837947368421053,0.47368421052631576,0.8157894736842105,0.9631578947368421,1.0,1.0,1.0,1.0,1.0,113,122,141,0.3402777777777778,0.6916666666666667,0.3105263157894737,50,0,,1.0
