arm,scenario,label,category,width,height,num_agents,max_steps,obstacle_ratio,episodes,coverage_ratio_mean,coverage_ratio_std,coverage_auc_mean,coverage_auc_std,coverage_completed_mean,coverage_completed_std,mission_completed_mean,mission_completed_std,returned_to_depot_mean,returned_to_depot_std,steps_mean,steps_std,coverage_steps_mean,coverage_steps_std,return_steps_mean,return_steps_std,path_length_mean,path_length_std,avg_agent_path_length_mean,avg_agent_path_length_std,global_repeat_ratio_mean,global_repeat_ratio_std,repeat_ratio_mean,repeat_ratio_std,repeat_ratio_after_90_mean,repeat_ratio_after_90_std,inter_agent_overlap_ratio_mean,inter_agent_overlap_ratio_std,stalled_mean,stalled_std,stall_termination_coverage_mean,stall_termination_coverage_std,total_reward_mean,total_reward_std,t90_reach_rate,t90_mean_reached,t95_reach_rate,t95_mean_reached,t99_reach_rate,t99_mean_reached,coverage_at_100_mean,coverage_at_125_mean,coverage_at_200_mean,coverage_at_250_mean,coverage_at_300_mean,coverage_at_375_mean,coverage_at_50_mean,coverage_at_500_mean
GAT-OFF,cuap_best_seed_20260603,CUAP best prior-eval seed 20260603 (Unseen 20x20 / 4 agents / 5% obstacles),cuap-best-seed,20,20,4,500,0.05,1,1.0,0.0,0.8691157894736843,0.0,1.0,0.0,1.0,0.0,0.0,0.0,231.0,0.0,231.0,0.0,0.0,0.0,920.0,0.0,230.0,0.0,0.5905172413793104,0.0,0.5905172413793104,0.0,0.8967391304347826,0.0,0.8947368421052632,0.0,0.0,0.0,1.0,0.0,74.66874922439456,0.0,1.0,139.0,1.0,161.0,1.0,212.0,0.7421052631578947,0.8447368421052631,0.9868421052631579,1.0,1.0,1.0,0.49736842105263157,1.0
GAT-ON,cuap_best_seed_20260603,CUAP best prior-eval seed 20260603 (Unseen 20x20 / 4 agents / 5% obstacles),cuap-best-seed,20,20,4,500,0.05,1,1.0,0.0,0.8779157894736842,0.0,1.0,0.0,1.0,0.0,0.0,0.0,201.0,0.0,201.0,0.0,0.0,0.0,792.0,0.0,198.0,0.0,0.5297029702970297,0.0,0.5297029702970297,0.0,0.8661971830985915,0.0,0.55,0.0,0.0,0.0,1.0,0.0,74.5812494494021,0.0,1.0,130.0,1.0,169.0,1.0,191.0,0.8184210526315789,0.8842105263157894,0.9973684210526316,1.0,1.0,1.0,0.5078947368421053,1.0
GAT-CUAP,cuap_best_seed_20260603,CUAP best prior-eval seed 20260603 (Unseen 20x20 / 4 agents / 5% obstacles),cuap-best-seed,20,20,4,500,0.05,1,1.0,0.0,0.8932210526315789,0.0,1.0,0.0,1.0,0.0,0.0,0.0,135.0,0.0,135.0,0.0,0.0,0.0,536.0,0.0,134.0,0.0,0.3014705882352941,0.0,0.3014705882352941,0.0,0.7430555555555556,0.0,0.2710526315789474,0.0,0.0,0.0,1.0,0.0,86.74374894425273,0.0,1.0,99.0,1.0,109.0,1.0,132.0,0.9078947368421053,0.9894736842105263,1.0,1.0,1.0,1.0,0.47368421052631576,1.0
GAT-OFF,course4_native_config,Course-4 native config seed 20260431,training-native,20,20,4,500,0.05,1,1.0,0.0,0.8735894736842106,0.0,1.0,0.0,1.0,0.0,0.0,0.0,166.0,0.0,166.0,0.0,0.0,0.0,660.0,0.0,165.0,0.0,0.4311377245508982,0.0,0.4311377245508982,0.0,0.7934782608695652,0.0,0.5631578947368421,0.0,0.0,0.0,1.0,0.0,79.25624953210354,0.0,1.0,120.0,1.0,130.0,1.0,149.0,0.7684210526315789,0.9315789473684211,1.0,1.0,1.0,1.0,0.4368421052631579,1.0
GAT-ON,course4_native_config,Course-4 native config seed 20260431,training-native,20,20,4,500,0.05,1,1.0,0.0,0.8944736842105262,0.0,1.0,0.0,1.0,0.0,0.0,0.0,123.0,0.0,123.0,0.0,0.0,0.0,482.0,0.0,120.5,0.0,0.23387096774193547,0.0,0.23387096774193547,0.0,0.6346153846153846,0.0,0.14473684210526316,0.0,0.0,0.0,1.0,0.0,87.23124910891056,0.0,1.0,97.0,1.0,106.0,1.0,120.0,0.9236842105263158,1.0,1.0,1.0,1.0,1.0,0.4868421052631579,1.0
GAT-CUAP,course4_native_config,Course-4 native config seed 20260431,training-native,20,20,4,500,0.05,1,1.0,0.0,0.8917894736842105,0.0,1.0,0.0,1.0,0.0,0.0,0.0,130.0,0.0,130.0,0.0,0.0,0.0,516.0,0.0,129.0,0.0,0.2748091603053435,0.0,0.2748091603053435,0.0,0.5375,0.0,0.26842105263157895,0.0,0.0,0.0,1.0,0.0,87.46874923631549,0.0,1.0,110.0,1.0,116.0,1.0,126.0,0.8631578947368421,0.9868421052631579,1.0,1.0,1.0,1.0,0.48157894736842105,1.0
GAT-OFF,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20,20,4,500,0.05,8,0.9986842105263158,0.003481251725084999,0.8350447368421052,0.03378548662737004,0.875,0.33071891388307384,0.875,0.33071891388307384,0.0,0.0,334.25,104.00210334411511,334.25,104.00210334411511,0.0,0.0,1330.5,413.3663629276093,332.625,103.34159073190233,0.6834323387170768,0.11483121466901848,0.6834323387170768,0.11483121466901848,0.9049757945210344,0.052881787857721074,0.8512493001119821,0.12311204504652781,0.375,0.4841229182759271,0.9529605263157894,0.11953016793139033,61.39765575667843,12.111194144190941,1.0,197.0,1.0,236.5,0.875,273.7142857142857,0.7118421052631578,0.7973684210526316,0.90625,0.9513157894736842,0.975328947368421,0.9911184210526316,0.4430921052631579,0.9986842105263158
GAT-ON,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20,20,4,500,0.05,8,1.0,0.0,0.8872631578947369,0.006729283382920125,1.0,0.0,1.0,0.0,0.0,0.0,153.875,16.766316679581116,153.875,16.766316679581116,0.0,0.0,606.5,65.86918854821273,151.625,16.467297137053183,0.37909637236910804,0.06998998699588177,0.37909637236910804,0.06998998699588177,0.7586677755642486,0.07063632108955901,0.2924342105263158,0.0812433408735023,0.0,0.0,1.0,0.0,83.4468741111923,3.069658411426737,1.0,111.75,1.0,123.5,1.0,143.375,0.8519736842105263,0.9460526315789474,1.0,1.0,1.0,1.0,0.4907894736842105,1.0
GAT-CUAP,course4_training_obstacle_seeds,Course-4 training obstacle seeds 20260440-20260447,training-seeds,20,20,4,500,0.05,8,0.999671052631579,0.0008703129312712497,0.8833973684210527,0.004587989408706631,0.875,0.33071891388307384,0.875,0.33071891388307384,0.0,0.0,203.625,113.00767396508965,203.625,113.00767396508965,0.0,0.0,737.25,274.07469328633755,184.3125,68.51867332158439,0.4587230362228062,0.14573891476720977,0.4587230362228062,0.14573891476720977,0.7895136907323436,0.11444728575596501,0.3560581863630051,0.04944831033092028,0.125,0.33071891388307384,0.999671052631579,0.0008703129312712497,58.161327177193016,63.61415387897202,1.0,117.375,1.0,128.0,1.0,152.125,0.825,0.9388157894736842,0.999671052631579,0.999671052631579,0.999671052631579,0.999671052631579,0.4756578947368421,0.999671052631579
