model,coverage_done_step_mean,coverage_done_step_min,coverage_done_step_max,coverage_completion_rate,coverage_at_100_mean,coverage_at_150_mean,coverage_at_200_mean,repeat_at_100_mean,repeat_at_150_mean,repeat_at_200_mean,repeat_final_mean
GAT-OFF,324.5,208.0,498.0,0.7,0.7088157894736841,0.8544736842105263,0.9144736842105262,0.33329207920792076,0.46241721854304635,0.5677860696517414,0.7250243546251559
GAT-ON,175.47368421052633,143.0,271.0,0.95,0.7917105263157895,0.9369736842105263,0.9655263157894737,0.25532178217821777,0.4076824205171145,0.4619300726947008,0.46849588243128154
GAT-CIR,174.75,132.0,481.0,1.0,0.7980263157894736,0.9464473684210526,0.9680263157894737,0.24938118811881185,0.3900346256408461,0.40752084378686637,0.4120275511238817
