seed,obstacle_ratio,obstacles,free_cells,total_reward,coverage_ratio,completed,steps,path_length,coverage_auc,coverage_at_100,coverage_at_200,coverage_at_300,coverage_at_400,coverage_at_500,t90,t95,t99,repeat_ratio,repeat_ratio_after_90,inter_agent_overlap_ratio,stalled,stall_coverage,stall_termination_coverage,cir_beta,intent_conflict_rate,intent_conflict_nonzero,attention_entropy
20261001,0.05,20,380,84.25624917447567,1.0,1,161,640,0.885,0.8342105263157895,1.0,1.0,1.0,1.0,111,134,143,0.41358024691358025,0.815,0.3815789473684211,0,,1.0,0.0013152871979400516,0.800000011920929,0.800000011920929,0.13877293467521667
20261002,0.05,20,380,-382.98437125980854,0.968421052631579,0,500,500,0.5930263157894737,0.25526315789473686,0.5184210526315789,0.7631578947368421,0.9157894736842105,0.968421052631579,385,428,,0.8163672654690619,0.9434782608695652,0.002717391304347826,1,0.968421052631579,0.968421052631579,0.0013152870815247297,1.0,1.0,0.831307590007782
20261003,0.05,20,380,86.60624946653843,1.0,1,135,532,0.8902473684210527,0.8526315789473684,1.0,1.0,1.0,1.0,111,120,131,0.3014705882352941,0.6041666666666666,0.21052631578947367,0,,1.0,0.0013152870815247297,0.6800000071525574,0.6800000071525574,0.1329207867383957
20261004,0.05,20,380,68.756249088794,1.0,1,186,694,0.8866894736842105,0.8631578947368421,1.0,1.0,1.0,1.0,107,142,183,0.4919786096256685,0.879746835443038,0.36578947368421055,0,,1.0,0.0013152870815247297,0.8384279608726501,0.8384279608726501,0.15709802508354187
20261005,0.05,20,380,84.75624898076057,1.0,1,156,620,0.8787421052631579,0.7421052631578947,1.0,1.0,1.0,1.0,128,137,153,0.39490445859872614,0.6696428571428571,0.32894736842105265,0,,1.0,0.0013152870815247297,0.5988371968269348,0.5988371968269348,0.12045654654502869
20261006,0.05,20,380,80.66874933242798,1.0,1,180,716,0.8783842105263158,0.7921052631578948,1.0,1.0,1.0,1.0,126,133,162,0.47513812154696133,0.8240740740740741,0.4842105263157895,0,,1.0,0.0013152871979400516,0.8042553067207336,0.8042553067207336,0.15375597774982452
20261007,0.05,20,380,85.51874925941229,1.0,1,154,612,0.8907999999999999,0.8710526315789474,1.0,1.0,1.0,1.0,104,115,139,0.3870967741935484,0.815,0.38421052631578945,0,,1.0,0.0013152871979400516,0.7857142686843872,0.7857142686843872,0.2020704299211502
20261008,0.05,20,380,82.56874913722277,1.0,1,170,676,0.8792157894736843,0.8315789473684211,1.0,1.0,1.0,1.0,137,160,167,0.4444444444444444,0.7121212121212122,0.37894736842105264,0,,1.0,0.0013152870815247297,0.7757009267807007,0.7757009267807007,0.15548013150691986
20261009,0.05,20,380,74.60624914395157,1.0,1,193,744,0.8832157894736843,0.85,1.0,1.0,1.0,1.0,108,149,181,0.5103092783505154,0.8911764705882353,0.3684210526315789,0,,1.0,0.0013152870815247297,0.7981651425361633,0.7981651425361633,0.21869458258152008
20261010,0.05,20,380,86.09374898299575,1.0,1,146,580,0.8884842105263158,0.8578947368421053,1.0,1.0,1.0,1.0,111,131,144,0.35374149659863946,0.7285714285714285,0.26052631578947366,0,,1.0,0.0013152870815247297,0.7783505320549011,0.7783505320549011,0.17752814292907715
20261011,0.05,20,380,85.90624906122684,1.0,1,149,592,0.8939473684210527,0.8947368421052632,1.0,1.0,1.0,1.0,101,111,129,0.36666666666666664,0.8020833333333334,0.30526315789473685,0,,1.0,0.0013152870815247297,0.7862069010734558,0.7862069010734558,0.13542108237743378
20261012,0.05,20,380,85.85624879598618,1.0,1,145,576,0.8877578947368421,0.868421052631579,1.0,1.0,1.0,1.0,118,135,142,0.3493150684931507,0.6481481481481481,0.2736842105263158,0,,1.0,0.0013152870815247297,0.8373205661773682,0.8373205661773682,0.20614710450172424
20261013,0.05,20,380,86.48124881833792,1.0,1,150,596,0.8954105263157894,0.9026315789473685,1.0,1.0,1.0,1.0,100,109,147,0.3708609271523179,0.815,0.3236842105263158,0,,1.0,0.0013152871979400516,0.7979274392127991,0.7979274392127991,0.16289576888084412
20261014,0.05,20,380,-78.83125013113022,1.0,1,269,538,0.7821789473684211,0.5157894736842106,0.8526315789473684,1.0,1.0,1.0,222,237,256,0.6481481481481481,0.7978723404255319,0.21052631578947367,0,,1.0,0.0013152870815247297,0.939947783946991,0.939947783946991,0.39007461071014404
20261015,0.05,20,380,85.58124925196171,1.0,1,150,596,0.8895421052631578,0.8631578947368421,1.0,1.0,1.0,1.0,105,114,141,0.3708609271523179,0.7944444444444444,0.29736842105263156,0,,1.0,0.0013152871979400516,0.7991266250610352,0.7991266250610352,0.2057434469461441
20261016,0.05,20,380,87.71874890848994,1.0,1,133,526,0.8898736842105264,0.8263157894736842,1.0,1.0,1.0,1.0,113,119,125,0.291044776119403,0.5375,0.22894736842105262,0,,1.0,0.0013152871979400516,0.7399103045463562,0.7399103045463562,0.1794157326221466
20261017,0.05,20,380,85.73124924302101,1.0,1,144,572,0.8848736842105264,0.8210526315789474,1.0,1.0,1.0,1.0,112,125,139,0.3448275862068966,0.703125,0.28157894736842104,0,,1.0,0.0013152870815247297,0.7556818127632141,0.7556818127632141,0.17343343794345856
20261018,0.05,20,380,87.65624922513962,1.0,1,127,504,0.8909368421052631,0.8947368421052632,1.0,1.0,1.0,1.0,101,111,124,0.2578125,0.6442307692307693,0.23684210526315788,0,,1.0,0.0013152866158634424,0.7962962985038757,0.7962962985038757,0.159646138548851
20261019,0.05,20,380,82.46874902024865,1.0,1,165,650,0.8935315789473685,0.868421052631579,1.0,1.0,1.0,1.0,109,122,136,0.42771084337349397,0.8303571428571429,0.4342105263157895,0,,1.0,0.0013152871979400516,0.8264840245246887,0.8264840245246887,0.16429176926612854
20261020,0.05,20,380,82.00624929741025,1.0,1,181,716,0.8922789473684211,0.8947368421052632,1.0,1.0,1.0,1.0,101,115,144,0.47802197802197804,0.88125,0.4631578947368421,0,,1.0,0.0013152870815247297,0.7446808218955994,0.7446808218955994,0.1771450638771057
